Event,Participant Count
100k,92
100m,313
10k,253
Wheel Walk,119
400m,150
4x100 Relay,132
50m One-Foot,134
800m,155
Basketball,49
Cyclocross,175
Downhill Gliding,140
Flatland,66
High Jump,114
Hockey,117
Individual Freestyle,138
IUF Slalom,241
Large Group Expert,145
Long Jump,118
Marathon,149
Muni Cross Country,199
Muni Downhill,211
Muni Uphill,141
Pairs Freestyle,194
Platform High Jump,103
Platform Long Jump,61
Rail Race,112
Slopestyle Street,20
Slow Backward,225
Slow Forward,315
Small Group,136
Speed Trials,212
Stillstand,157
Street,44
Track Coasting,106
Trials,122
X-Style,62
