Event,Merged Category,Avg Time (sec),Performance Score
100k Standard Solo,0-10,17098.666666666668,5.848409232688708e-05
100k Unlimited Solo,0-10,16538.916666666668,6.0562125277895615e-05
100k Unlimited Solo,11-20,14352.333333333334,6.967508186822119e-05
100k Unlimited Solo,21-30,13613.333333333334,7.34628210931251e-05
100k Unlimited Solo,31-40,16301.0,6.134592969756457e-05
100k Unlimited Solo,41-50,18880.0,5.296610169491525e-05
100m,0-10,15.073666666666668,0.0663432772550631
100m,11-20,13.793944444444444,0.07261128337510357
100m,21-30,17.139833333333335,0.0589067609039811
100m,31-40,17.950333333333333,0.0557092718798165
10k Standard,0-10,2702.6855,0.00037982006638014997
10k Standard,11-20,2002.8816666666664,0.0004992922222889
10k Standard,21-30,2513.306333333333,0.0003978822584168
10k Standard,31-40,2072.363,0.0004825409448055
10k Unlimited,0-10,2321.8495000000003,0.00045634700286264996
10k Unlimited,11-20,1464.278375,0.000684848383464025
10k Unlimited,21-30,1348.3042500000001,0.0007424357934024
10k Unlimited,31-40,1528.3845,0.0006542856198816
10k Unlimited,41-50,1604.829,0.000623119347918
30m Wheel Walk,0-10,9.62075,0.1043175500497892
30m Wheel Walk,11-20,7.448583333333333,0.13516731748505775
30m Wheel Walk,21-30,15.9965,0.062513674866377
400m,0-10,71.81541666666666,0.014082757682626849
400m,11-20,59.68066666666667,0.016767356854506733
400m,21-30,74.995,0.0133677114102857
400m,31-40,73.76533333333333,0.0135565035066155
50m One-Foot,0-10,9.681000000000001,0.1044561340398782
50m One-Foot,11-20,8.295,0.12064030916350503
50m One-Foot,21-30,12.707999999999998,0.0786905886056027
800m,0-10,152.097375,0.006628332744609951
800m,11-20,129.64337500000002,0.007719473843346667
800m,21-30,160.27208333333334,0.0062707692893728
800m,31-40,148.99666666666667,0.006711559542719
Cyclocross Standard,0-10,1886.625,0.0005303306026091
Cyclocross Standard,11-20,1834.78325,0.0005452062899492
Cyclocross Standard,21-30,2057.333333333333,0.0004860661049902
Downhill Gliding,0-10,18.7375,0.0537474562286309
Downhill Gliding,11-20,17.42375,0.057594299352297575
High Jump,0-10,44.5,0.0233228511530397
High Jump,11-20,103.5,0.010978813081980749
IUF Slalom,0-10,23.05166666666667,0.04361442016750425
IUF Slalom,11-20,19.47722222222222,0.05141108836423907
IUF Slalom,21-30,25.126666666666665,0.0397983550013266
Long Jump,0-10,183.3333333333333,0.005751633986928
Long Jump,11-20,263.3333333333333,0.003907807506368
Marathon Standard,0-10,7355.0,0.0001359796671295
Marathon Standard,11-20,6724.166666666666,0.0001494626250895
Marathon Standard,21-30,7103.0,0.0001407855835562
Marathon Unlimited,0-10,7730.833333333334,0.0001311635446742
Marathon Unlimited,11-20,6269.444444444444,0.00016024233988656667
Marathon Unlimited,21-30,5726.333333333333,0.00017472749713200002
Marathon Unlimited,31-40,6362.0,0.0001571832756994
Marathon Unlimited,41-50,7955.333333333333,0.0001257018352467
Muni Cross Country Beginner,0-10,1685.1666666666663,0.0005950419254146
Muni Cross Country Beginner,11-20,1505.1666666666665,0.00066578884097825
Muni Cross Country Beginner,21-30,1535.6666666666667,0.000651182982418
Muni Cross Country Elite Standard,0-10,3915.0,0.0002570116719331
Muni Cross Country Elite Standard,11-20,3346.6666666666665,0.0002988047808764
Muni Cross Country Elite Standard,21-30,4074.6666666666665,0.0002454188481675
Muni Downhill Advanced,0-10,85.35,0.0118113505210279
Muni Downhill Advanced,11-20,75.00333333333333,0.013332740767077
Muni Downhill Advanced,21-30,91.0,0.0109890109890109
Muni Downhill Beginner,0-10,221.7445,0.0045110887051407
Muni Downhill Beginner,11-20,159.95625,0.0062545816480953
Muni Downhill Beginner,21-30,180.1555,0.0055507603153942
Muni Uphill,0-10,361.35,0.0028133894212703
Muni Uphill,11-20,236.48749999999995,0.004500408712164099
Muni Uphill,21-30,239.1,0.0041823504809703
Platform High Jump,0-10,79.66666666666666,0.0145731707317073
Platform High Jump,11-20,131.0,0.0076335877862595
Platform Long Jump,0-10,182.5,0.0057936507936507
Rail Race,0-10,5.875,0.17407407407407405
Rail Race,11-20,19.060000000000002,0.09014021145030669
Rail Race,21-30,36.25,0.0275862068965517
Slow Backward,0-10,16.582500000000003,0.0622996488189552
Slow Backward,11-20,45.0275,0.027092049296642634
Slow Forward,0-10,24.205,0.0414656767667838
Slow Forward,11-20,69.30499999999999,0.019434243112373666
Speed Trials,0-10,18.971666666666664,0.0581411741054134
Speed Trials,11-20,14.343333333333334,0.0697188008366256
Speed Trials,21-30,11.146666666666668,0.089712918660287
Stillstand,0-10,17.879583333333333,0.0709059774940319
Stillstand,11-20,230.56,0.0068333470476239
Track Coasting,0-10,31.416666666666664,0.0333707069514929
Track Coasting,11-20,81.03333333333333,0.0124176417302947
Trials,0-10,20.0,0.05079365079365075
Trials,11-20,59.75,0.02068783068783065
Trials,21-30,149.0,0.0067114093959731
